IP,DNS,QID,Title,Severity,CVSS Score,Category,Port,Protocol,CVE,Solution,Results
192.168.1.10,webserver01.example.com,11827,Apache HTTP Server Multiple Vulnerabilities,5,9.8,Web Server,80,tcp,"CVE-2023-45802, CVE-2023-43622","Upgrade Apache HTTP Server to version 2.4.58 or later. Apply security patches and restart the service.","Apache/2.4.41 Server detected. Multiple critical vulnerabilities found in this version. Vulnerable to remote code execution and denial of service attacks."
192.168.1.10,webserver01.example.com,38173,SSL Certificate Signed Using Weak Hashing Algorithm,4,7.5,SSL,443,tcp,,"Replace the SSL certificate with one signed using SHA-256 or stronger algorithm.","SSL certificate is signed using SHA-1 algorithm which is considered weak. Certificate expires on 2024-06-15."
192.168.1.10,webserver01.example.com,82023,SSH Weak Encryption Algorithms Enabled,3,5.3,General Remote Services,22,tcp,CVE-2023-38408,"Configure SSH to disable weak encryption algorithms. Update sshd_config file.","SSH server supports weak encryption algorithms: 3des-cbc, aes128-cbc"
192.168.1.20,dbserver01.example.com,91541,Microsoft SQL Server Multiple Vulnerabilities,5,9.9,Database,1433,tcp,"CVE-2024-0056, CVE-2024-0057","Apply SQL Server 2019 CU25 or later. Install latest security updates.","SQL Server 2019 CU22 detected. Multiple critical vulnerabilities allow remote code execution."
192.168.1.20,dbserver01.example.com,45038,Windows SMB Signing Not Required,4,6.8,Windows,445,tcp,,"Enable SMB signing requirement in Group Policy or registry settings.","SMB signing is not required, allowing potential man-in-the-middle attacks."
192.168.1.20,dbserver01.example.com,70657,Windows RDP Security Layer Not Set to SSL,2,3.7,Windows,3389,tcp,,"Configure RDP to use SSL/TLS encryption for enhanced security.","RDP is configured to use RDP security layer instead of SSL/TLS."
192.168.1.30,fileserver01.example.com,87151,Samba Remote Code Execution Vulnerability,4,8.1,General Remote Services,139,tcp,CVE-2023-4091,"Upgrade Samba to version 4.18.8 or later. Apply available security patches.","Samba 4.17.5 detected. Vulnerable to remote code execution via crafted packets."
192.168.1.30,fileserver01.example.com,11219,NFS Exported Share Information Disclosure,3,5.0,General Remote Services,2049,tcp,,"Restrict NFS share permissions and implement proper access controls.","NFS shares are exported with world-readable permissions: /home, /data"
192.168.1.40,workstation01.example.com,19551,Adobe Acrobat Multiple Vulnerabilities,4,7.8,Third Party Applications,N/A,N/A,"CVE-2024-20829, CVE-2024-20830","Update Adobe Acrobat to the latest version. Enable automatic updates.","Adobe Acrobat Reader 2023.006.20320 detected with multiple vulnerabilities allowing arbitrary code execution."
192.168.1.40,workstation01.example.com,105692,Google Chrome Multiple Vulnerabilities,4,8.8,Web Browser,N/A,N/A,"CVE-2024-0222, CVE-2024-0223","Update Google Chrome to version 121.0.6167.85 or later.","Google Chrome 120.0.6099.216 detected with multiple high-severity vulnerabilities."
